Escola,Função,Nome
ISEIT — Ensino Universitário em Viseu,Diretora Adjunta,Doutora Maria Helena Chéu
ISEIT — Ensino Universitário em Viseu,Conselho Científico,Doutora Teresa Panteleitchouk (por inerência do cargo de Diretora)
ISEIT — Ensino Universitário em Viseu,Conselho Científico,Doutora Isabel Silva
ISEIT — Ensino Universitário em Viseu,Conselho Científico,Doutora Cristina Costa Lobo
ISEIT — Ensino Universitário em Viseu,Conselho Científico,Doutora Maria Helena Chéu
ISEIT — Ensino Universitário em Viseu,Conselho Científico,Doutor Paulo Alves
ISEIT — Ensino Universitário em Viseu,Conselho Pedagógico,Doutora Maria Helena Chéu (por inerência do cargo de Diretora-Adjunta)
ISEIT — Ensino Universitário em Viseu,Conselho Pedagógico,Doutor Paulo Alves
ISEIT — Ensino Universitário em Viseu,Conselho Pedagógico,Doutora Isabel Silva
ISEIT — Ensino Universitário em Viseu,Conselho Pedagógico,Doutora Cristina Costa Lobo
ISEIT — Ensino Universitário em Viseu,Conselho Pedagógico,Doutor João José Borges Lopes
ISEIT — Ensino Universitário em Viseu,Conselho Pedagógico,Estudante Daniela Carvalho (1.º CE em Psicologia)
ISEIT — Ensino Universitário em Viseu,Conselho Pedagógico,Estudante Margarida Rebelo (1.º CE em Psicologia)
ISEIT — Ensino Universitário em Viseu,Conselho Pedagógico,Estudante Patrícia Almeida (1.º CE em Psicologia)
ISEIT — Ensino Universitário em Viseu,Conselho Pedagógico,Estudante Renata Santos (1.º CE em Psicologia)
ISEIT — Ensino Universitário em Viseu,Conselho Pedagógico,Estudante Fábio Lopes (2.º CE em Psicologia da Educação e Aconselhamento)
ISEIT — Ensino Universitário em Viseu,Conselho Consultivo,Representantes dos Docentes: Doutora Isabel Silva (1.º CE em Psicologia)
ISEIT — Ensino Universitário em Viseu,Conselho Consultivo,Representantes dos Docentes: Doutora Cristina Costa Lobo (2.º CE em Psicologia da Educação e Aconselhamento) (Presidente)
ISEIT — Ensino Universitário em Viseu,Conselho Consultivo,Representante dos Funcionários: Dr.ª Cristina Vale
ISEIT — Ensino Universitário em Viseu,Conselho Consultivo,Representantes dos Estudantes: Patrícia Almeida (1.º CE em Psicologia)
ISEIT — Ensino Universitário em Viseu,Conselho Consultivo,Representantes dos Estudantes: Gabriela Castanheira (2º CE em Psicologia da Educação e Aconselhamento)
ISEIT — Ensino Universitário em Viseu,Conselho Consultivo,Representantes da Associação dos Estudantes: Fábio Lopes
ISEIT — Ensino Universitário em Viseu,Conselho Disciplinar,Representantes dos Docentes: Doutora Isabel Silva
ISEIT — Ensino Universitário em Viseu,Conselho Disciplinar,Representantes dos Docentes: Doutor Paulo Alves
ISEIT — Ensino Universitário em Viseu,Conselho Disciplinar,Representantes dos Docentes: Doutora Cristina Costa Lobo (Presidente)
ISEIT — Ensino Universitário em Viseu,Conselho Disciplinar,Representantes dos Estudantes: Patrícia Almeida (1.º CE em Psicologia)
ISEIT — Ensino Universitário em Viseu,Conselho Disciplinar,Representantes dos Estudantes: Fábio Lopes (2.º CE em Psicologia da Educação e Aconselhamento)
